a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
81,-101,FVA,FVAH22,D1,2021-11-28,1638057600,121.1015625,121.1484375,120.921875,121.0703125,7930,0,42703,377842.0
82,-100,FVA,FVAH22,D1,2021-11-29,1638144000,121.078125,121.453125,120.9375,121.3828125,170569,0,878767,647558.0
83,-99,FVA,FVAH22,D1,2021-11-30,1638230400,121.3828125,121.859375,121.03125,121.109375,331326,0,1886855,936108.0
84,-98,FVA,FVAH22,D1,2021-12-01,1638316800,121.109375,121.46875,120.90625,121.3515625,194910,0,1043453,1269692.0
85,-97,FVA,FVAH22,D1,2021-12-02,1638403200,121.3515625,121.3828125,120.9453125,121.1328125,172169,0,891696,1274001.0
86,-96,FVA,FVAH22,D1,2021-12-03,1638489600,121.1328125,121.515625,120.921875,121.421875,206766,0,1078979,1004709.0
87,-95,FVA,FVAH22,D1,2021-12-05,1638662400,121.3671875,121.3828125,121.234375,121.2734375,2785,78125,13585,661420.0
88,-94,FVA,FVAH22,D1,2021-12-06,1638748800,121.28125,121.3125,121.0390625,121.1171875,123040,0,661754,584773.0
89,-93,FVA,FVAH22,D1,2021-12-07,1638835200,121.125,121.1328125,120.78125,120.8359375,119960,0,695914,457084.0
90,-92,FVA,FVAH22,D1,2021-12-08,1638921600,120.8359375,121.03125,120.640625,120.75,152076,0,832165,729944.0
91,-91,FVA,FVAH22,D1,2021-12-09,1639008000,120.75,120.9453125,120.6484375,120.7421875,120919,0,681998,736692.0
92,-90,FVA,FVAH22,D1,2021-12-10,1639094400,120.734375,121.03125,120.5390625,120.84375,146504,0,871185,795116.0
93,-89,FVA,FVAH22,D1,2021-12-12,1639267200,120.8203125,120.8984375,120.796875,120.8046875,1741,78125,8190,520458.0
94,-88,FVA,FVAH22,D1,2021-12-13,1639353600,120.796875,121.140625,120.734375,121.0625,89400,0,530160,469845.0
95,-87,FVA,FVAH22,D1,2021-12-14,1639440000,121.0546875,121.1015625,120.859375,120.9140625,106232,0,623534,387295.0
96,-86,FVA,FVAH22,D1,2021-12-15,1639526400,120.9140625,121.015625,120.5859375,120.828125,176669,0,1007889,720528.0
97,-85,FVA,FVAH22,D1,2021-12-16,1639612800,120.8359375,121.3046875,120.75,121.25,166346,0,977537,869653.0
98,-84,FVA,FVAH22,D1,2021-12-17,1639699200,121.25,121.421875,121.1484375,121.2421875,120636,0,679346,888257.0
99,-83,FVA,FVAH22,D1,2021-12-19,1639872000,121.265625,121.4140625,121.2578125,121.3984375,3163,0,16576,557820.0
100,-82,FVA,FVAH22,D1,2021-12-20,1639958400,121.3984375,121.5703125,121.28125,121.3359375,120643,0,700661,465528.0
101,-81,FVA,FVAH22,D1,2021-12-21,1640044800,121.34375,121.3828125,120.9609375,121.140625,92755,0,578290,431842.0
102,-80,FVA,FVAH22,D1,2021-12-22,1640131200,121.140625,121.140625,120.921875,121.0546875,83790,0,497438,592130.0
103,-79,FVA,FVAH22,D1,2021-12-23,1640217600,121.0546875,121.0859375,120.9296875,120.953125,58191,0,321254,465661.0
104,-78,FVA,FVAH22,D1,2021-12-26,1640476800,120.9453125,120.96875,120.9296875,120.9609375,778,78125,4718,274470.0
105,-77,FVA,FVAH22,D1,2021-12-27,1640563200,120.9609375,120.96875,120.8203125,120.9140625,49460,0,277965,201312.0
106,-76,FVA,FVAH22,D1,2021-12-28,1640649600,120.9140625,120.9921875,120.875,120.9765625,65393,0,447732,243472.0
107,-75,FVA,FVAH22,D1,2021-12-29,1640736000,120.984375,121.0390625,120.71875,120.7890625,84399,0,492800,406166.0
108,-74,FVA,FVAH22,D1,2021-12-30,1640822400,120.7890625,120.96875,120.78125,120.9375,71985,0,388505,443012.0
109,-73,FVA,FVAH22,D1,2021-12-31,1640908800,120.9453125,121.03125,120.859375,120.875,64859,0,413843,431716.0
110,-72,FVA,FVAH22,D1,2022-01-02,1641081600,120.875,120.890625,120.8203125,120.8828125,1854,78125,11141,271163.0
111,-71,FVA,FVAH22,D1,2022-01-03,1641168000,120.875,120.875,120.421875,120.5390625,125115,0,848098,424361.0
112,-70,FVA,FVAH22,D1,2022-01-04,1641254400,120.546875,120.546875,120.3203125,120.484375,140888,0,872787,577342.0
113,-69,FVA,FVAH22,D1,2022-01-05,1641340800,120.484375,120.5390625,120.0859375,120.1796875,155543,0,928935,883273.0
114,-68,FVA,FVAH22,D1,2022-01-06,1641427200,120.1796875,120.2265625,119.84375,119.9296875,165579,0,1003793,935172.0
115,-67,FVA,FVAH22,D1,2022-01-07,1641513600,119.9296875,119.9765625,119.6328125,119.7578125,165794,0,976693,969807.0
116,-66,FVA,FVAH22,D1,2022-01-09,1641686400,119.7421875,119.7421875,119.6171875,119.65625,2725,0,10753,663746.0
117,-65,FVA,FVAH22,D1,2022-01-10,1641772800,119.65625,119.7265625,119.484375,119.609375,135484,0,849190,612212.0
118,-64,FVA,FVAH22,D1,2022-01-11,1641859200,119.609375,119.75,119.4140625,119.71875,166556,0,1051950,637298.0
119,-63,FVA,FVAH22,D1,2022-01-12,1641945600,119.71875,119.875,119.6015625,119.6328125,146281,0,912561,937900.0
120,-62,FVA,FVAH22,D1,2022-01-13,1642032000,119.6328125,119.9453125,119.5625,119.8125,129782,0,862483,942331.0
121,-61,FVA,FVAH22,D1,2022-01-14,1642118400,119.8046875,119.9140625,119.453125,119.4609375,149444,0,927222,900755.0
122,-60,FVA,FVAH22,D1,2022-01-16,1642291200,119.453125,119.453125,119.3125,119.3203125,3538,78125,21114,603606.0
123,-59,FVA,FVAH22,D1,2022-01-17,1642377600,119.3203125,119.3671875,119.1875,119.2734375,29104,0,170120,372819.0
124,-58,FVA,FVAH22,D1,2022-01-18,1642464000,119.28125,119.2890625,118.9375,118.9921875,195106,0,1229025,473420.0
125,-57,FVA,FVAH22,D1,2022-01-19,1642550400,118.984375,119.2421875,118.7890625,119.0234375,175086,0,1096383,831843.0
126,-56,FVA,FVAH22,D1,2022-01-20,1642636800,119.015625,119.4453125,118.96875,119.3984375,136673,0,816991,1047466.0
127,-55,FVA,FVAH22,D1,2022-01-21,1642723200,119.390625,119.640625,119.328125,119.484375,173560,0,1086038,999804.0
128,-54,FVA,FVAH22,D1,2022-01-23,1642896000,119.5,119.515625,119.3046875,119.3984375,5482,0,31833,644954.0
129,-53,FVA,FVAH22,D1,2022-01-24,1642982400,119.3984375,119.8359375,119.3125,119.578125,214768,0,1292106,803326.0
130,-52,FVA,FVAH22,D1,2022-01-25,1643068800,119.5703125,119.7265625,119.4375,119.515625,185899,0,1118989,814309.0
131,-51,FVA,FVAH22,D1,2022-01-26,1643155200,119.515625,119.59375,118.8359375,118.9140625,215073,0,1184808,1198634.0
132,-50,FVA,FVAH22,D1,2022-01-27,1643241600,118.9140625,119.1171875,118.796875,118.9765625,225272,0,1310000,1204599.0
