a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
563,-522,SR3,SR3Z25,H3,2025-09-25 12:00:00,1758801600,96.31,96.31,96.255,96.27,0,0,210162,27705.0
564,-521,SR3,SR3Z25,H3,2025-09-25 15:00:00,1758812400,96.27,96.275,96.265,96.275,0,0,78697,30224.0
565,-520,SR3,SR3Z25,H3,2025-09-25 18:00:00,1758823200,96.27,96.275,96.255,96.265,1,0,95204,31765.0
566,-519,SR3,SR3Z25,H3,2025-09-25 21:00:00,1758834000,96.26,96.27,96.26,96.265,0,0,1396,31813.0
567,-518,SR3,SR3Z25,H3,2025-09-26 00:00:00,1758844800,96.265,96.27,96.26,96.265,0,0,4620,31945.0
568,-517,SR3,SR3Z25,H3,2025-09-26 03:00:00,1758855600,96.265,96.27,96.265,96.265,0,0,4160,31913.0
569,-516,SR3,SR3Z25,H3,2025-09-26 06:00:00,1758866400,96.265,96.27,96.26,96.265,0,0,8585,31811.0
570,-515,SR3,SR3Z25,H3,2025-09-26 09:00:00,1758877200,96.265,96.275,96.26,96.27,0,0,18274,32087.0
571,-514,SR3,SR3Z25,H3,2025-09-26 12:00:00,1758888000,96.27,96.285,96.26,96.275,0,0,88489,33594.0
572,-513,SR3,SR3Z25,H3,2025-09-26 15:00:00,1758898800,96.28,96.285,96.265,96.28,0,0,37123,32411.0
573,-512,SR3,SR3Z25,H3,2025-09-26 18:00:00,1758909600,96.285,96.285,96.275,96.28,0,0,20793,31837.0
574,-511,SR3,SR3Z25,H3,2025-09-28 21:00:00,1759093200,96.28,96.285,96.28,96.285,0,0,1252,31841.0
575,-510,SR3,SR3Z25,H3,2025-09-29 00:00:00,1759104000,96.285,96.285,96.28,96.285,0,0,7274,32027.0
576,-509,SR3,SR3Z25,H3,2025-09-29 03:00:00,1759114800,96.28,96.28,96.28,96.28,0,0,1085,31761.0
577,-508,SR3,SR3Z25,H3,2025-09-29 06:00:00,1759125600,96.285,96.29,96.285,96.285,0,0,8325,31765.0
578,-507,SR3,SR3Z25,H3,2025-09-29 09:00:00,1759136400,96.285,96.295,96.285,96.29,0,0,11199,31415.0
579,-506,SR3,SR3Z25,H3,2025-09-29 12:00:00,1759147200,96.29,96.295,96.28,96.295,1,0,51549,31332.0
580,-505,SR3,SR3Z25,H3,2025-09-29 15:00:00,1759158000,96.29,96.3,96.285,96.285,0,0,47655,31999.0
581,-504,SR3,SR3Z25,H3,2025-09-29 18:00:00,1759168800,96.29,96.295,96.285,96.29,0,0,20831,31633.0
582,-503,SR3,SR3Z25,H3,2025-09-29 21:00:00,1759179600,96.295,96.295,96.29,96.29,2,0,114,31631.0
583,-502,SR3,SR3Z25,H3,2025-09-30 00:00:00,1759190400,96.29,96.295,96.29,96.295,1,0,335,31421.0
584,-501,SR3,SR3Z25,H3,2025-09-30 03:00:00,1759201200,96.29,96.3,96.29,96.295,0,0,9990,31789.0
585,-500,SR3,SR3Z25,H3,2025-09-30 06:00:00,1759212000,96.295,96.305,96.29,96.305,1,0,17385,31899.0
586,-499,SR3,SR3Z25,H3,2025-09-30 09:00:00,1759222800,96.3,96.305,96.29,96.3,0,0,32891,32391.0
587,-498,SR3,SR3Z25,H3,2025-09-30 12:00:00,1759233600,96.295,96.315,96.29,96.315,0,0,82892,27088.0
588,-497,SR3,SR3Z25,H3,2025-09-30 15:00:00,1759244400,96.31,96.32,96.305,96.315,0,0,66486,26579.0
589,-496,SR3,SR3Z25,H3,2025-09-30 18:00:00,1759255200,96.31,96.325,96.31,96.31,0,0,72385,25629.0
590,-495,SR3,SR3Z25,H3,2025-09-30 21:00:00,1759266000,96.31,96.31,96.305,96.31,3,0,5919,25817.0
591,-494,SR3,SR3Z25,H3,2025-10-01 00:00:00,1759276800,96.31,96.315,96.31,96.315,3,0,4874,25828.0
592,-493,SR3,SR3Z25,H3,2025-10-01 03:00:00,1759287600,96.315,96.315,96.31,96.315,0,0,2113,25742.0
593,-492,SR3,SR3Z25,H3,2025-10-01 06:00:00,1759298400,96.31,96.315,96.305,96.31,0,0,15505,26031.0
594,-491,SR3,SR3Z25,H3,2025-10-01 09:00:00,1759309200,96.315,96.32,96.31,96.315,1,0,27365,26410.0
595,-490,SR3,SR3Z25,H3,2025-10-01 12:00:00,1759320000,96.315,96.365,96.305,96.355,0,0,255733,33378.0
596,-489,SR3,SR3Z25,H3,2025-10-01 15:00:00,1759330800,96.35,96.355,96.35,96.35,1,0,22673,32776.0
597,-488,SR3,SR3Z25,H3,2025-10-01 18:00:00,1759341600,96.35,96.36,96.35,96.36,0,0,31079,33205.0
598,-487,SR3,SR3Z25,H3,2025-10-01 21:00:00,1759352400,96.355,96.36,96.355,96.36,0,0,461,33172.0
599,-486,SR3,SR3Z25,H3,2025-10-02 00:00:00,1759363200,96.36,96.36,96.355,96.355,1,0,1974,32951.0
600,-485,SR3,SR3Z25,H3,2025-10-02 03:00:00,1759374000,96.355,96.355,96.35,96.35,0,0,3819,33065.0
601,-484,SR3,SR3Z25,H3,2025-10-02 06:00:00,1759384800,96.35,96.355,96.35,96.35,0,0,16774,33417.0
602,-483,SR3,SR3Z25,H3,2025-10-02 09:00:00,1759395600,96.35,96.355,96.34,96.345,2,0,33106,34330.0
603,-482,SR3,SR3Z25,H3,2025-10-02 12:00:00,1759406400,96.345,96.35,96.335,96.35,0,0,84921,35720.0
604,-481,SR3,SR3Z25,H3,2025-10-02 15:00:00,1759417200,96.345,96.355,96.34,96.345,0,0,45277,35621.0
605,-480,SR3,SR3Z25,H3,2025-10-02 18:00:00,1759428000,96.35,96.36,96.345,96.355,7,0,35438,36230.0
606,-479,SR3,SR3Z25,H3,2025-10-02 21:00:00,1759438800,96.355,96.355,96.35,96.35,0,0,381,36241.0
607,-478,SR3,SR3Z25,H3,2025-10-03 00:00:00,1759449600,96.35,96.35,96.345,96.345,0,0,1968,36309.0
608,-477,SR3,SR3Z25,H3,2025-10-03 03:00:00,1759460400,96.345,96.35,96.34,96.34,0,0,2494,35996.0
609,-476,SR3,SR3Z25,H3,2025-10-03 06:00:00,1759471200,96.34,96.345,96.34,96.345,0,0,1976,35354.0
610,-475,SR3,SR3Z25,H3,2025-10-03 09:00:00,1759482000,96.34,96.35,96.34,96.35,0,0,10899,34438.0
611,-474,SR3,SR3Z25,H3,2025-10-03 12:00:00,1759492800,96.345,96.355,96.33,96.335,0,0,83903,34480.0
612,-473,SR3,SR3Z25,H3,2025-10-03 15:00:00,1759503600,96.335,96.34,96.33,96.335,6,0,32099,33047.0
613,-472,SR3,SR3Z25,H3,2025-10-03 18:00:00,1759514400,96.335,96.34,96.33,96.335,36,0,18259,30792.0
