a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,mean_volume
184,-32,YM,YMH22,D1,2022-02-09,1644364800,35420.0,35752.0,35370.0,35702.0,155239,0,165968,173827.0
185,-31,YM,YMH22,D1,2022-02-10,1644451200,35701.0,35750.0,34990.0,35053.0,263926,0,282188,210261.0
186,-30,YM,YMH22,D1,2022-02-11,1644537600,35055.0,35330.0,34511.0,34689.0,286666,0,313656,253937.0
187,-29,YM,YMH22,D1,2022-02-13,1644710400,34645.0,34732.0,34585.0,34710.0,4712,1,5139,200328.0
188,-28,YM,YMH22,D1,2022-02-14,1644796800,34710.0,34755.0,34205.0,34517.0,252154,0,269120,195972.0
189,-27,YM,YMH22,D1,2022-02-15,1644883200,34516.0,34968.0,34345.0,34836.0,180290,0,193715,155991.0
190,-26,YM,YMH22,D1,2022-02-16,1644969600,34836.0,35060.0,34558.0,34821.0,184036,0,196865,219900.0
191,-25,YM,YMH22,D1,2022-02-17,1645056000,34818.0,34859.0,34171.0,34265.0,190770,0,207031,199204.0
192,-24,YM,YMH22,D1,2022-02-18,1645142400,34266.0,34500.0,33900.0,34019.0,210852,0,227671,210522.0
193,-23,YM,YMH22,D1,2022-02-20,1645315200,33869.0,33957.0,33832.0,33928.0,5315,0,5761,146821.0
194,-22,YM,YMH22,D1,2022-02-21,1645401600,33928.0,34349.0,33406.0,33553.0,116039,0,125216,119549.0
195,-21,YM,YMH22,D1,2022-02-22,1645488000,33558.0,34049.0,33292.0,33680.0,298502,0,320630,150536.0
196,-20,YM,YMH22,D1,2022-02-23,1645574400,33678.0,33824.0,33010.0,33056.0,224744,0,238638,228161.0
197,-19,YM,YMH22,D1,2022-02-24,1645660800,33055.0,33205.0,32167.0,33020.0,404613,0,432431,330566.0
198,-18,YM,YMH22,D1,2022-02-25,1645747200,33022.0,34034.0,32762.0,33997.0,262286,0,279713,316927.0
199,-17,YM,YMH22,D1,2022-02-27,1645920000,33678.0,33678.0,33353.0,33498.0,12022,1,13783,241976.0
200,-16,YM,YMH22,D1,2022-02-28,1646006400,33503.0,33941.0,33322.0,33903.0,269261,0,291074,194857.0
201,-15,YM,YMH22,D1,2022-03-01,1646092800,33903.0,34065.0,33064.0,33380.0,248391,0,273281,192713.0
202,-14,YM,YMH22,D1,2022-03-02,1646179200,33380.0,33977.0,33121.0,33811.0,217940,0,236797,267051.0
203,-13,YM,YMH22,D1,2022-03-03,1646265600,33811.0,34143.0,33597.0,33841.0,178376,0,195044,235041.0
204,-12,YM,YMH22,D1,2022-03-04,1646352000,33844.0,33859.0,33210.0,33535.0,239745,0,258986,230276.0
205,-11,YM,YMH22,D1,2022-03-06,1646524800,33401.0,33412.0,33187.0,33262.0,7771,0,8451,154160.0
206,-10,YM,YMH22,D1,2022-03-07,1646611200,33264.0,33542.0,32662.0,32710.0,224271,0,246039,171159.0
207,-9,YM,YMH22,D1,2022-03-08,1646697600,32709.0,33374.0,32305.0,32658.0,260278,0,281347,178612.0
208,-8,YM,YMH22,D1,2022-03-09,1646784000,32661.0,33441.0,32612.0,33247.0,185882,0,199764,242383.0
209,-7,YM,YMH22,D1,2022-03-10,1646870400,33246.0,33283.0,32799.0,33223.0,160637,0,173996,218369.0
210,-6,YM,YMH22,D1,2022-03-11,1646956800,33223.0,33691.0,32901.0,32960.0,119026,0,125981,166580.0
211,-5,YM,YMH22,D1,2022-03-13,1647129600,33012.0,33196.0,32998.0,33170.0,3417,1,3682,101220.0
136,-81,YM,YMM22,D1,2022-03-14,1647216000,33050.0,33289.0,32708.0,32870.0,169087,0,180101,103410.0
137,-80,YM,YMM22,D1,2022-03-15,1647302400,32870.0,33514.0,32578.0,33385.0,174283,0,185642,123497.0
138,-79,YM,YMM22,D1,2022-03-16,1647388800,33382.0,34061.0,33280.0,34009.0,212019,0,225339,197027.0
139,-78,YM,YMM22,D1,2022-03-17,1647475200,34008.0,34391.0,33760.0,34212.0,127945,0,137901,182961.0
140,-77,YM,YMM22,D1,2022-03-18,1647561600,34214.0,34705.0,34104.0,34704.0,134225,0,145854,169698.0
141,-76,YM,YMM22,D1,2022-03-20,1647734400,34669.0,34688.0,34592.0,34600.0,2184,1,2322,95359.0
142,-75,YM,YMM22,D1,2022-03-21,1647820800,34602.0,34694.0,34228.0,34406.0,141813,0,152900,100359.0
143,-74,YM,YMM22,D1,2022-03-22,1647907200,34405.0,34775.0,34318.0,34739.0,101008,0,109621,88281.0
