Ref,Magic,Ticker,Symbol,Future,Side,Dir,Volume,Entry,Exit,Open,Close,Durat.Hr,Durat.Min,PTake,PStop,TP,SL,ULA Change,ULA Variat,Costs,Result,Return
AT_GL_Real,101522,WIN,WING26,G26,Short,-1,1.0,2026-01-29 09:02:01,2026-01-29 11:52:42,188550.0,186565.0,2.8447222222222224,170.68333333333334,186560.0,,1.0,,-1985.0,-1.0527711482365447,0.0,397.0,1.0527711482365447
AT_GL_Real,101501,WIN,WING26,G26,Long,1,1.0,2026-02-02 09:29:58,2026-02-02 17:34:41,182820.0,183485.0,8.078611111111112,484.71666666666664,184650.0,,1.0,,665.0,0.3637457608576682,0.0,133.0,0.3637457608576682
AT_GL_Real,101502,WIN,WING26,G26,Short,-1,1.0,2026-02-02 09:59:13,2026-02-02 13:29:25,183075.0,183135.0,3.5033333333333334,210.2,,184905.0,,-1.0,60.0,0.03277345350265648,0.0,-12.0,-0.03277345350265648
AT_GL_Real,101514,WIN,WING26,G26,Long,1,1.0,2026-02-03 09:44:49,2026-02-03 10:58:13,185620.0,187005.0,1.2233333333333334,73.4,187010.0,,0.75,,1385.0,0.7461480443917736,0.0,277.0,0.7461480443917736
AT_GL_Real,101502,WIN,WING26,G26,Short,-1,1.0,2026-02-03 09:59:22,2026-02-03 11:22:49,185735.0,187585.0,1.3908333333333334,83.45,,187590.0,,-1.0,1850.0,0.9960427490779864,0.0,-370.0,-0.9960427490779864
AT_GL_Real,101522,WIN,WING26,G26,Short,-1,1.0,2026-02-03 10:59:23,2026-02-03 11:59:44,187035.0,187830.0,1.0058333333333334,60.35,185165.0,,1.0,,795.0,0.4250541342529601,0.0,-159.0,-0.4250541342529601
AT_GL_Real,111502,BIT,BITG26,G26,Short,-1,1.0,2026-02-04 12:44:59,2026-02-04 13:08:46,393240.0,390460.0,0.3963888888888889,23.783333333333335,390320.0,,0.75,,-2780.0,-0.7069474112501268,0.0,27.8,0.7069474112501268
AT_GL_Real,101514,WIN,WING26,G26,Long,1,1.0,2026-02-05 10:14:11,2026-02-05 11:39:49,182795.0,184165.0,1.4272222222222222,85.63333333333334,184170.0,,0.75,,1370.0,0.7494734538690864,0.0,274.0,0.7494734538690864
AT_GL_Real,101520,WIN,WING26,G26,Short,-1,1.0,2026-02-05 11:43:20,2026-02-05 12:12:50,184485.0,183095.0,0.49166666666666664,29.5,183095.0,,0.75,,-1390.0,-0.7534487898745112,0.0,278.0,0.7534487898745112
AT_GL_Real,111502,BIT,BITG26,G26,Short,-1,1.0,2026-02-05 12:44:05,2026-02-05 13:09:39,358220.0,355640.0,0.4261111111111111,25.566666666666666,355540.0,,0.75,,-2580.0,-0.7202277929763738,0.0,25.8,0.7202277929763738
