const,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN$N,M1,2025-06-25 15:03:00,1750863780,138150.0,138160.0,138095.0,138125.0,9153,5,30287
WIN$N,M1,2025-06-25 15:04:00,1750863840,138125.0,138195.0,138120.0,138185.0,7297,5,23199
WIN$N,M1,2025-06-25 15:05:00,1750863900,138185.0,138205.0,138135.0,138155.0,5271,5,17799
WIN$N,M1,2025-06-25 15:06:00,1750863960,138150.0,138170.0,138110.0,138110.0,4189,5,13072
WIN$N,M1,2025-06-25 15:07:00,1750864020,138110.0,138120.0,138065.0,138085.0,8827,5,28920
WIN$N,M1,2025-06-25 15:08:00,1750864080,138085.0,138090.0,137990.0,138005.0,12066,5,40113
WIN$N,M1,2025-06-25 15:09:00,1750864140,138000.0,138010.0,137960.0,137995.0,9251,5,30336
WIN$N,M1,2025-06-25 15:10:00,1750864200,137995.0,138070.0,137995.0,138045.0,10082,5,33377
WIN$N,M1,2025-06-25 15:11:00,1750864260,138045.0,138065.0,137995.0,138050.0,5985,5,20097
WIN$N,M1,2025-06-25 15:12:00,1750864320,138055.0,138070.0,138030.0,138060.0,2814,5,9927
WIN$N,M1,2025-06-25 15:13:00,1750864380,138055.0,138080.0,138050.0,138055.0,3172,5,10587
WIN$N,M1,2025-06-25 15:14:00,1750864440,138060.0,138110.0,138040.0,138105.0,5803,5,18934
WIN$N,M1,2025-06-25 15:15:00,1750864500,138110.0,138125.0,138085.0,138100.0,4606,5,15080
WIN$N,M1,2025-06-25 15:16:00,1750864560,138100.0,138120.0,138065.0,138100.0,4066,5,13555
WIN$N,M1,2025-06-25 15:17:00,1750864620,138100.0,138110.0,138090.0,138105.0,1374,5,4097
WIN$N,M1,2025-06-25 15:18:00,1750864680,138105.0,138135.0,138095.0,138100.0,3935,5,13041
WIN$N,M1,2025-06-25 15:19:00,1750864740,138100.0,138115.0,138080.0,138115.0,2426,5,7674
WIN$N,M1,2025-06-25 15:20:00,1750864800,138115.0,138130.0,138100.0,138130.0,3005,5,7887
WIN$N,M1,2025-06-25 15:21:00,1750864860,138130.0,138135.0,138100.0,138105.0,2626,5,8141
WIN$N,M1,2025-06-25 15:22:00,1750864920,138105.0,138110.0,138045.0,138100.0,6186,5,19792
WIN$N,M1,2025-06-25 15:23:00,1750864980,138100.0,138175.0,138095.0,138170.0,7479,5,24585
WIN$N,M1,2025-06-25 15:24:00,1750865040,138175.0,138190.0,138160.0,138165.0,5014,5,16887
WIN$N,M1,2025-06-25 15:25:00,1750865100,138170.0,138180.0,138150.0,138160.0,2434,5,7877
WIN$N,M1,2025-06-25 15:26:00,1750865160,138155.0,138175.0,138140.0,138165.0,2763,5,8694
WIN$N,M1,2025-06-25 15:27:00,1750865220,138160.0,138205.0,138150.0,138190.0,4679,5,14663
WIN$N,M1,2025-06-25 15:28:00,1750865280,138190.0,138240.0,138180.0,138225.0,6073,5,20322
WIN$N,M1,2025-06-25 15:29:00,1750865340,138220.0,138225.0,138200.0,138220.0,2088,5,5829
WIN$N,M1,2025-06-25 15:30:00,1750865400,138220.0,138225.0,138150.0,138185.0,7243,5,23130
WIN$N,M1,2025-06-25 15:31:00,1750865460,138185.0,138265.0,138185.0,138225.0,6871,5,22145
WIN$N,M1,2025-06-25 15:32:00,1750865520,138230.0,138255.0,138225.0,138245.0,3303,5,11113
WIN$N,M1,2025-06-25 15:33:00,1750865580,138240.0,138260.0,138225.0,138235.0,2553,5,8202
WIN$N,M1,2025-06-25 15:34:00,1750865640,138235.0,138245.0,138195.0,138235.0,3957,5,13764
WIN$N,M1,2025-06-25 15:35:00,1750865700,138235.0,138250.0,138210.0,138240.0,2426,5,7524
WIN$N,M1,2025-06-25 15:36:00,1750865760,138235.0,138275.0,138230.0,138265.0,4149,5,13078
WIN$N,M1,2025-06-25 15:37:00,1750865820,138270.0,138270.0,138215.0,138235.0,3231,5,10479
WIN$N,M1,2025-06-25 15:38:00,1750865880,138230.0,138240.0,138200.0,138210.0,2852,5,10116
WIN$N,M1,2025-06-25 15:39:00,1750865940,138210.0,138225.0,138195.0,138210.0,2248,5,7724
WIN$N,M1,2025-06-25 15:40:00,1750866000,138215.0,138230.0,138190.0,138225.0,3374,5,11808
WIN$N,M1,2025-06-25 15:41:00,1750866060,138225.0,138290.0,138210.0,138270.0,5926,5,18841
WIN$N,M1,2025-06-25 15:42:00,1750866120,138270.0,138275.0,138235.0,138260.0,3094,5,9405
WIN$N,M1,2025-06-25 15:43:00,1750866180,138255.0,138280.0,138245.0,138265.0,2262,5,6730
WIN$N,M1,2025-06-25 15:44:00,1750866240,138265.0,138325.0,138260.0,138285.0,7020,5,21588
WIN$N,M1,2025-06-25 15:45:00,1750866300,138290.0,138305.0,138245.0,138290.0,4809,5,16527
WIN$N,M1,2025-06-25 15:46:00,1750866360,138290.0,138290.0,138245.0,138260.0,3422,5,11457
WIN$N,M1,2025-06-25 15:47:00,1750866420,138260.0,138270.0,138235.0,138260.0,2322,5,6965
WIN$N,M1,2025-06-25 15:48:00,1750866480,138255.0,138265.0,138190.0,138210.0,7004,5,22678
WIN$N,M1,2025-06-25 15:49:00,1750866540,138215.0,138240.0,138200.0,138230.0,3316,5,10607
WIN$N,M1,2025-06-25 15:50:00,1750866600,138230.0,138270.0,138220.0,138250.0,3648,5,12218
WIN$N,M1,2025-06-25 15:51:00,1750866660,138250.0,138285.0,138240.0,138265.0,3368,5,10654
WIN$N,M1,2025-06-25 15:52:00,1750866720,138260.0,138275.0,138240.0,138260.0,1813,5,5766
WIN$N,M1,2025-06-25 15:53:00,1750866780,138260.0,138350.0,138255.0,138325.0,8121,5,26011
WIN$N,M1,2025-06-25 15:54:00,1750866840,138320.0,138330.0,138300.0,138330.0,3003,5,11297
WIN$N,M1,2025-06-25 15:55:00,1750866900,138330.0,138340.0,138295.0,138295.0,3589,5,10503
WIN$N,M1,2025-06-25 15:56:00,1750866960,138295.0,138295.0,138255.0,138255.0,4403,5,14585
WIN$N,M1,2025-06-25 15:57:00,1750867020,138255.0,138270.0,138225.0,138235.0,4181,5,13747
WIN$N,M1,2025-06-25 15:58:00,1750867080,138235.0,138240.0,138170.0,138180.0,7732,5,24051
WIN$N,M1,2025-06-25 15:59:00,1750867140,138180.0,138195.0,138165.0,138180.0,3502,5,10784
WIN$N,M1,2025-06-25 16:00:00,1750867200,138180.0,138200.0,138160.0,138190.0,5283,5,16778
WIN$N,M1,2025-06-25 16:01:00,1750867260,138190.0,138200.0,138155.0,138170.0,3449,5,10032
WIN$N,M1,2025-06-25 16:02:00,1750867320,138165.0,138170.0,138125.0,138145.0,5569,5,17733
WIN$N,M1,2025-06-25 16:03:00,1750867380,138145.0,138180.0,138135.0,138155.0,3515,5,11811
WIN$N,M1,2025-06-25 16:04:00,1750867440,138160.0,138175.0,138140.0,138170.0,1894,5,5957
WIN$N,M1,2025-06-25 16:05:00,1750867500,138170.0,138175.0,138120.0,138170.0,3910,5,13545
WIN$N,M1,2025-06-25 16:06:00,1750867560,138170.0,138180.0,138130.0,138160.0,3585,5,12218
WIN$N,M1,2025-06-25 16:07:00,1750867620,138155.0,138175.0,138140.0,138165.0,1924,5,6174
WIN$N,M1,2025-06-25 16:08:00,1750867680,138170.0,138190.0,138150.0,138180.0,2858,5,9986
WIN$N,M1,2025-06-25 16:09:00,1750867740,138175.0,138195.0,138160.0,138175.0,2225,5,8007
WIN$N,M1,2025-06-25 16:10:00,1750867800,138175.0,138180.0,138090.0,138125.0,8762,5,31127
WIN$N,M1,2025-06-25 16:11:00,1750867860,138130.0,138180.0,138115.0,138175.0,4902,5,16066
WIN$N,M1,2025-06-25 16:12:00,1750867920,138175.0,138185.0,138155.0,138180.0,2530,5,8647
WIN$N,M1,2025-06-25 16:13:00,1750867980,138175.0,138195.0,138165.0,138185.0,2718,5,9198
WIN$N,M1,2025-06-25 16:14:00,1750868040,138190.0,138220.0,138180.0,138220.0,5179,5,17400
WIN$N,M1,2025-06-25 16:15:00,1750868100,138220.0,138235.0,138200.0,138220.0,5108,5,17332
WIN$N,M1,2025-06-25 16:16:00,1750868160,138220.0,138255.0,138200.0,138240.0,4783,5,15466
WIN$N,M1,2025-06-25 16:17:00,1750868220,138240.0,138260.0,138230.0,138235.0,3534,5,11514
WIN$N,M1,2025-06-25 16:18:00,1750868280,138240.0,138245.0,138215.0,138235.0,2195,5,6537
WIN$N,M1,2025-06-25 16:19:00,1750868340,138235.0,138235.0,138185.0,138190.0,4347,5,14741
WIN$N,M1,2025-06-25 16:20:00,1750868400,138190.0,138230.0,138160.0,138210.0,5447,5,18375
WIN$N,M1,2025-06-25 16:21:00,1750868460,138215.0,138235.0,138200.0,138220.0,2503,5,9156
WIN$N,M1,2025-06-25 16:22:00,1750868520,138220.0,138230.0,138195.0,138210.0,2547,5,8189
WIN$N,M1,2025-06-25 16:23:00,1750868580,138210.0,138220.0,138200.0,138220.0,1194,5,3577
WIN$N,M1,2025-06-25 16:24:00,1750868640,138215.0,138315.0,138215.0,138300.0,9582,5,30673
WIN$N,M1,2025-06-25 16:25:00,1750868700,138305.0,138325.0,138295.0,138305.0,4177,5,13824
WIN$N,M1,2025-06-25 16:26:00,1750868760,138305.0,138335.0,138305.0,138325.0,3325,5,10996
WIN$N,M1,2025-06-25 16:27:00,1750868820,138330.0,138340.0,138280.0,138295.0,3953,5,12758
WIN$N,M1,2025-06-25 16:28:00,1750868880,138290.0,138320.0,138285.0,138310.0,2243,5,8077
